dataset,method,dataset_name,model,time,parameter,replicate,n_synthetic_samples,n_original_samples,n_features,js_distance
SMC_Clean/ces,SMC_Clean,ces,smc_clean,0,P1,1,10000,10000,88,0.02707788052409634
SMC_Clean/ces,SMC_Clean,ces,smc_clean,100,P1,1,10000,10000,88,0.023183819871454348
SMC_Clean/ces,SMC_Clean,ces,smc_clean,10,P1,1,10000,10000,88,0.027063448944340148
SMC_Clean/covertype,SMC_Clean,covertype,smc_clean,0,P1,1,10000,10000,55,0.016143200230251502
SMC_Clean/covertype,SMC_Clean,covertype,smc_clean,100,P1,1,10000,10000,55,0.007414340261362884
SMC_Clean/covertype,SMC_Clean,covertype,smc_clean,10,P1,1,10000,10000,55,0.0073896440965758245
SMC_Clean/kddcup,SMC_Clean,kddcup,smc_clean,0,P1,1,10000,10000,38,0.04279003712458238
SMC_Clean/kddcup,SMC_Clean,kddcup,smc_clean,100,P1,1,10000,10000,38,0.017227709449078272
SMC_Clean/kddcup,SMC_Clean,kddcup,smc_clean,10,P1,1,10000,10000,38,0.018378237578679762
SMC_Clean/pumd,SMC_Clean,pumd,smc_clean,0,P1,1,10000,7415,72,0.0815241752986762
SMC_Clean/pumd,SMC_Clean,pumd,smc_clean,100,P1,1,10000,7415,72,0.07667303795815938
SMC_Clean/pumd,SMC_Clean,pumd,smc_clean,10,P1,1,10000,7415,72,0.08160760153407479
SMC_Clean/pums,SMC_Clean,pums,smc_clean,0,P1,1,10000,10000,26,0.04558659685421407
SMC_Clean/pums,SMC_Clean,pums,smc_clean,100,P1,1,10000,10000,26,0.03660665245520386
SMC_Clean/pums,SMC_Clean,pums,smc_clean,10,P1,1,10000,10000,26,0.03593930606564373
SMC_Clean/sydt,SMC_Clean,sydt,smc_clean,0,P1,1,10000,10000,10,0.024552391757272217
SMC_Clean/sydt,SMC_Clean,sydt,smc_clean,100,P1,1,10000,10000,10,0.016836523680228765
SMC_Clean/sydt,SMC_Clean,sydt,smc_clean,10,P1,1,10000,10000,10,0.01673702421699452
